# |d| 	Rsxx	Rsyy	Rszz 	Rsxy	Rszy	Rsxz 	nAve
3.75e-06	0	0	0	0	0	0	0
1.125e-05	0	0	0	0	0	0	0
1.875e-05	0	0	0	0	0	0	0
2.625e-05	0	0	0	0	0	0	0
3.375e-05	0	0	0	0	0	0	0
4.125e-05	0	0	0	0	0	0	0
4.875e-05	0	0	0	0	0	0	0
5.625e-05	0	0	0	0	0	0	0
6.375e-05	0	0	0	0	0	0	0
7.125e-05	0	0	0	0	0	0	0
7.875e-05	0	0	0	0	0	0	0
8.625e-05	0	0	0	0	0	0	0
9.375e-05	0	0	0	0	0	0	0
0.00010125	0	0	0	0	0	0	0
0.00010875	0	0	0	0	0	0	0
0.00011625	0	0	0	0	0	0	0
0.00012375	0	0	0	0	0	0	0
0.00013125	0	0	0	0	0	0	0
0.00013875	0	0	0	0	0	0	0
0.00014625	0	0	0	0	0	0	0
0.00015375	0	0	0	0	0	0	0
0.00016125	0	0	0	0	0	0	0
0.00016875	0	0	0	0	0	0	0
0.00017625	0	0	0	0	0	0	0
0.00018375	0	0	0	0	0	0	0
0.00019125	0	0	0	0	0	0	0
0.00019875	0	0	0	0	0	0	0
0.00020625	0	0	0	0	0	0	0
0.00021375	0	0	0	0	0	0	0
0.00022125	0	0	0	0	0	0	0
0.00022875	0	0	0	0	0	0	0
0.00023625	-0.00909237	0.0951145	0.0835067	0.0468645	-0.00491561	0.0234548	198
0.00024375	0.125482	0.268713	0.24088	-0.151736	-0.110399	0.0200638	288
0.00025125	0	0	0	0	0	0	0
0.00025875	0	0	0	0	0	0	0
0.00026625	0	0	0	0	0	0	0
0.00027375	0	0	0	0	0	0	0
0.00028125	0	0	0	0	0	0	0
0.00028875	0	0	0	0	0	0	0
0.00029625	0	0	0	0	0	0	0
0.00030375	0	0	0	0	0	0	0
0.00031125	0	0	0	0	0	0	0
0.00031875	0	0	0	0	0	0	0
0.00032625	0	0	0	0	0	0	0
0.00033375	0	0	0	0	0	0	0
0.00034125	0.0193317	-0.031125	-0.106407	-0.0299604	0.00332615	-0.0111556	720
0.00034875	0	0	0	0	0	0	0
0.00035625	0	0	0	0	0	0	0
0.00036375	0	0	0	0	0	0	0
0.00037125	0	0	0	0	0	0	0
